9594,14625,35583,14823,4734,8803,37529,1172,10301,7854,16768,12613,8831,42181,21067,47367,4097,8123,12300,42906
12190,15252,90094,23069,8019,12219,41122,10057,10402,8630,21745,12836,10033,44276,28481,53579,10462,8538,13458,44541
12965,16595,25007,27187,8104,19057,41516,10556,10881,8919,38239,20168,12356,45085,41845,53672,12047,8960,14065,44861
13226,17193,36435,45060,9038,20047,77942,10646,14490,9065,44025,20171,13317,45451,41995,53776,17629,9244,14130,45520
20475,18337,59402,45702,10955,20059,89689,13414,22836,9754,45189,22201,13555,45625,42992,86423,17758,9466,24445,46328
24576,18885,68848,45852,13719,22984,91954,16218,24834,9776,79549,26555,18919,45705,45362,94607,22520,9849,27429,47456
26440,20175,85088,45926,13867,25701,135111,18912,28475,10200,81465,29013,21586,46382,67524,113140,25250,10422,31904,47591
29374,22711,59401,46830,14226,43431,15106,20438,29102,10234,100127,31054,29889,48775,81934,53048,25539,10548,35281,47883
30833,22833,48338,46844,18119,43729,39527,21064,31412,10473,70226,34207,44568,48880,84271,65949,37834,11863,41476,48003
30867,24073,137002,47496,18902,44256,87806,21157,43762,11693,85781,36300,44829,62624,85525,47720,57025,12242,44284,48271
41070,24213,113781,48228,19317,45552,57554,22519,45177,12089,8493,37588,46411,64178,99736,29877,59102,12490,47338,63804
46352,24988,106065,49287,19910,47787,96396,22567,46070,13383,88305,43127,47452,65886,109790,46702,59109,12896,54414,66750
47229,25390,31071,89409,20746,48139,23871,24124,48386,13399,102224,43373,64456,82822,19678,78806,64535,12962,62475,67622
60818,25623,80022,106646,21262,57023,91361,24308,50938,13408,93554,46676,64804,102280,22527,85865,65319,14296,63624,113865
65128,26226,110448,122031,21413,62249,102451,24880,57991,13450,80180,58337,64896,55136,89239,19450,65453,14860,64165,82067
65985,27496,69783,118715,21512,64077,39467,25368,63366,13761,15056,63728,65364,68159,80315,110826,70670,20430,64190,44242
79178,28385,113782,81058,21650,64373,58850,26260,66472,13950,84662,65859,66441,5965,23109,42093,79046,20730,68658,45262
90474,28960,108800,30368,23346,64693,69704,27388,67863,14420,16668,88536,83712,45288,70717,79727,85301,20747,96833,86591
15236,29507,109547,123012,24360,64798,89005,28506,69195,14496,85676,93709,137652,43920,44973,93591,87678,21469,51969,85098
126310,31370,115453,44012,24687,64972,63765,30707,77727,15428,84592,105362,10669,48541,39641,72146,87786,22648,51897,45742
28661,43835,109992,45386,24900,65068,40590,31272,79729,15589,79259,24664,62181,47766,45109,94947,99524,24914,20900,49088
64301,45440,115769,77860,25839,65072,20982,43272,81686,15648,88055,23259,90873,98093,19250,26733,6047,26920,64245,48231
70874,46080,108686,122996,25884,65483,25879,43529,85434,15924,40349,79002,82777,81267,66783,97778,19246,27028,80046,46189
21228,47150,108235,27536,26188,65717,82682,44769,86851,15954,97407,57180,14418,100434,69552,109280,15063,28143,51900,67576
21716,57711,36596,43654,26842,65989,91679,45290,102922,16049,99014,14141,10934,69128,137075,34276,80934,29530,99676,134258
22133,60012,107224,114739,26970,66334,15787,48873,115791,16269,46424,53027,24578,48254,42319,1412,48815,30167,64020,47184
62107,60602,110213,118235,27400,69967,81505,60145,69534,16474,88926,57278,24981,89329,42794,100076,79887,34601,61749,70094
65273,62653,102560,124484,27466,70227,84139,61790,68666,16524,79712,62267,44215,27234,80388,22934,37110,34895,18313,44403
14295,64996,8804,121904,27802,101004,31411,62013,83956,16585,29057,16439,14438,46029,35233,35488,40315,39474,22117,43702
28566,65202,45302,124950,28692,59884,15027,63156,17380,16657,83367,123573,86545,48595,91048,61604,55395,39776,124668,44488
67368,65212,106333,45294,28718,4307,24444,63172,94872,16809,81433,92997,83326,87203,79461,35426,28172,43655,8943,92506
